X,Y,LAST_YEAR,AADT_ALLVE
2520130.337,2388044.167,2016,22000
2262574.515,2400169.49,,
2318011.826,2361004.881,2013,800
2262055.834,2400367.998,,
2381605.252,2301108.855,,
2396773.039,2311482.996,2013,550
2467720.782,2424129.356,2017,11000
2262574.515,2400169.49,,
2240362.198,2411766.366,,
2610790.497,2284192.731,2009,210
2237819.793,2616911.622,2012,40
2138887.323,2564957.389,2013,1100
2376142.494,2336514.788,2004,390
2325795.09,2319224.149,,
2381340.521,2425018.041,2013,1700
2435704.867,2352814.547,,
2520130.337,2388044.167,2013,19000
2381851.6,2385287.977,,
2380370.851,2369053.128,,
2211873.252,2401423.547,2013,80
2360002.81,2312365.479,,
2497040.583,2407649.347,,
2340223.275,2597678.555,2013,850
2439642.616,2373135.708,,
2272526.848,2349501.703,,
2211683.209,2384402.997,,
2505866.232,2588850.612,2013,1200
2429757.794,2383319.537,,
2520491.421,2402372.72,2019,26000
2328863.941,2387579.439,,
2410723.144,2326956.668,,
2336825.835,2362326.408,2013,1900
2263514.357,2347112.943,2013,2800
2241698.894,2369545.285,,
2515385.944,2527491.712,,
2215184.631,2580004.629,2013,170
2292833.608,2676053.189,,
2516861.673,2394583.642,2007,11000
2512715.584,2355703.266,,
2538103.836,2342653.179,2012,510
2341787.488,2339460.484,,
2256447.575,2527158.827,2007,310
2441275.579,2375941.705,2014,5300
2488407.168,2420890.377,2018,17000
2437556.827,2528978.3,2018,8300
2482356.686,2407955.946,2008,4600
2532673.828,2402045.432,,
2484195.259,2407766.284,2008,9000
2266094.34,2586958.283,2012,400
2494788.376,2406750.44,2008,8700
2289990.074,2676135.931,,
2516982.977,2366866.381,2016,5800
2432279.584,2521021.997,,
2477264.444,2595010.056,,
2507375.114,2398261.148,,
2510755.642,2373475.697,,
2515094.007,2396271.848,,
2515532.771,2409448.898,2008,36000
2550269.535,2381233.062,,
2535980.959,2382271.613,,
2498125.89,2413858.009,2012,13000
2481410.97,2406237.274,2011,14000
2495481.373,2408928.716,,
2435955.495,2621739.136,2013,440
2365552.099,2415227.343,2014,350
2515364.357,2389379.694,2007,5400
2516626.806,2405853.033,,
2352241.429,2579490.759,,
2371886.231,2350872.837,,
2379965.636,2352092.038,,
2526084.39,2380671.453,2012,12000
2406854.982,2636587.809,,
2502265.017,2396609.211,2020,7800
2435483.828,2527104.316,,
2498226.319,2402969.204,,
2499055.549,2411870.771,2013,39000
2511857.28,2420742.44,2006,16000
2521063.722,2392009.571,2003,24000
2513141.193,2421028.377,2006,18000
2497962.256,2402892.539,2004,20000
2524011.893,2388330.465,2003,13000
2526125.829,2381004.526,2010,12000
2381851.6,2385287.977,,
2428862.287,2375573.087,,
2384794.463,2305864.231,,
2412340.138,2331402.978,,
2308259.061,2378470.856,,
2376931.51,2385636.347,2013,820
2262055.834,2400367.998,,
2411843.561,2330857.894,,
2511983.413,2393195.791,,
2497858.416,2409169.059,,
2463866.106,2445893.936,2013,4900
2515713.094,2402984.615,,
2266546.92,2580076.592,2014,750
2379965.636,2352092.038,,
2446694.672,2360559.658,,
2376142.494,2336514.788,2004,460
2376233.948,2349226.116,2005,4200
2444571.377,2378075.572,,
2386848,2494597.774,,
2434523.778,2369883.033,,
2463069.673,2359298.645,2013,1900
2314947.607,2358077.495,2013,1700
2303606.045,2334602.544,,
2442258.985,2372610.762,2014,6000
2211683.209,2384402.997,,
2429907.609,2383178.023,,
2440438.321,2377086.3,2004,4900
2433074.638,2379949.906,,
2424019.728,2393393.764,,
2437619.599,2373337.661,,
2371680.002,2293296.704,,
2442768.584,2372537.518,,
2524195.173,2333406.15,,
2442414.1,2376524.986,2014,4300
2427490.115,2365091.699,2014,2800
2438364.689,2438040.78,2013,690
2523839.648,2333695.996,,
2402670.154,2638276.124,,
2387656.661,2309129.615,,
2496343.978,2423262.302,2008,39000
2336810.145,2312777.157,,
2382745.382,2301365.515,,
2582218.63,2372493.757,2017,2600
2402670.154,2638276.124,,
2441271.124,2359261.367,2019,10000
2431503.959,2365197.616,,
2508761.618,2428625.654,,
2226238.519,2367666.601,2014,170
2441903.643,2457517.688,2013,590
2523235.407,2334118.98,,
2441492.284,2370221.831,,
2430482.258,2433183.668,2013,1600
2530832.449,2331799.317,,
2444105.531,2368657.838,2007,9700
2402195.269,2452456.131,2009,3300
2360211.193,2325969.84,,
2329313.597,2336964.918,,
2229556.655,2810026.199,,
2590889.1,2608635.977,2014,3100
2265999.697,2369246.616,2012,310
2516194.335,2411133.744,2017,14000
2481268.1,2412134.956,,
2467716.252,2401530.11,2007,7700
2442069.495,2374740.625,,
2437882.637,2381409.704,,
2524588.416,2335045.517,,
2459216.225,2359488.351,,
2535976.371,2330841.422,,
2497303.197,2407413.456,,
2431503.959,2365197.616,,
2375395.2,2409437.184,,
2441410.874,2370093.847,2014,3600
2491633.435,2429226.318,,
2436772.307,2347629.666,2013,560
2439037.104,2377992.725,2013,710
2356259.134,2422598.841,,
2382745.382,2301365.515,,
2287918.188,2551210.842,2014,230
2441550.738,2361218.242,,
2387609.698,2441712.853,2014,770
2443066.103,2372494.417,2019,6700
2443676.906,2382327.837,2013,1700
2441550.738,2361218.242,,
2372809.076,2301170.789,,
2442261.03,2366278.889,,
2387292.061,2399340.033,,
2144049.994,2438784.788,,
2169292.305,2421609.234,2014,360
2573321.874,2604508.887,2007,310
2443613.474,2370807.424,,
2376933.154,2350291.723,,
2626035.885,2371230.304,2009,810
2443238.193,2368772.992,2005,4000
2144049.994,2438784.788,,
2445199.361,2371277.981,,
2478601.841,2415196.262,,
2431373.341,2364341.973,,
2371760.671,2317962.962,,
2441152.216,2370068.809,,
2204004.844,2344281.791,,
2436798.035,2361898.921,2013,2300
2435353.298,2350200.724,,
2436904.931,2489120.613,2013,1400
2425538.991,2340968.762,2014,2400
2500125.649,2474159.058,2015,2100
2428162.43,2384931.26,,
2589121.762,2314557.778,2016,790
2440486.82,2377039.758,2013,4700
2308259.061,2378470.856,,
2465751.602,2555610.49,2013,1400
2328863.941,2387579.439,,
2431503.959,2365197.616,,
2470336.37,2402800.97,2007,10000
2386977.929,2399497.189,,
2442590.081,2377742.925,,
2520492.222,2400237.265,2020,23000
2195636.09,2415722.482,,
2263514.357,2347112.943,,
2784049.123,2449944.312,2015,40
2512687.696,2517029.578,,
2495025.183,2406191.737,2017,13000
2511390.057,2403077.051,,
2204555.165,2368909.792,2012,1800
2318429.243,2365843.952,,
2618551.319,2570406.069,1991,7100
2518448.925,2564720.666,,
2444269.553,2377769.122,,
2387987.481,2398996.073,,
2441581.365,2377955.332,2014,5200
2532412.709,2330430.501,,
2518882.781,2401526.313,2019,66000
2264691.919,2426847.4,,
2529981.024,2384130.896,2013,23000
2431503.959,2365197.616,,
2492660.69,2410432.276,2013,770
2512765.559,2498497.548,2008,3400
2522461.028,2578254.643,2014,940
2303524.039,2492326.629,2012,830
2446671.894,2369930.32,,
2328384.937,2332146.52,,
2393655,2351001.5,,
2402686.208,2344420.572,,
2514552.975,2402140.745,1989,29000
2387884.39,2330659.239,2013,350
2542653.79,2366916.71,,
2467148.137,2358758.5,,
2278180.474,2351213.891,,
2445963.403,2520406.58,,
2428547.099,2541309.363,,
2361737.141,2629936.939,,
2167536.134,2490583.779,2013,400
2529491.869,2331196.538,2016,5200
2416614.215,2488033.855,2009,500
2292833.608,2676053.189,,
2192765.659,2525183.035,2013,130
2444335.224,2461306.003,2008,800
2478112.143,2434648.173,2018,7500
2564296.856,2569123.98,2014,80
2464357.136,2458066.4,2013,200
2277223.096,2346151.95,2015,7300
2438104.749,2351146.76,,
2434523.778,2369883.033,,
2205098.688,2343386.927,,
2463047.394,2450193.885,2013,1400
2463516.069,2371202.755,,
2307706.449,2328529.396,2013,660
2411843.561,2330857.894,,
2433446.518,2526500.676,,
2332616.388,2352387.69,,
2435525.747,2351153.981,2013,2100
2395093.552,2350474.274,,
2466543.832,2359462.334,2004,2000
2250237.479,2354964.67,2012,200
2458143.778,2358990.227,2015,3100
2494523.589,2544844.086,2012,400
2394447.573,2442833.612,2007,2900
2345759.944,2380662.934,2013,260
2338485.446,2362299.283,,
2555876.313,2485155.202,2013,400
2427409.354,2341407.788,,
2202592.272,2342621.245,,
2292749.052,2343169.171,,
2180992.011,2428638.036,,
